소재지,물건 종류,감정가,최저매각가격,권리분석 주요 내용,해결 방안 및 투자 전략,수익성 및 전망 (추론),출처
부산광역시 영도구,토지 지분 및 건물 전체,9억,"3,275만원","토지는 1/3 지분 매각, 건물은 전체 매각. 토지 지분 2/3 소유자가 건물주에게 지료 청구 및 건물 철거 요구 가능성 있음.",경매의 가위바위보 원리 이용. 나머지 토지 지분을 저렴하게 매수하거나 지료 소송을 통해 건물 소유권을 방어하는 전략. 낙찰 후 전문가 상담 권장.,"투자 금액이 낮아 소액 투자에 적합하며, 도로 수용 시 보상 가능성도 존재함.",1
경상북도 영덕군 강구면,토지(냉동창고 및 주택지),미명시,"5,900만원",3필지로 나뉘어 경매 진행. 농지취득자격증명서 제출 필요. 냉동창고가 있는 필지는 150평.,인접 필지(주택지 등)와 함께 낙찰받아 전체를 하나의 부지로 활용. 2층 건축 시 바다 조망권 확보 가능.,바닷가 근처로 조망권 확보 시 가치 상승 기대. 평당 단가가 낮아 시세 차익 가능성 높음.,1
경상남도 통영시 사량면,대지(건물 제외),"6,000만원","1,200만원",건물 매각 제외(무허가 건물 존재). 도로 위치 문제로 유찰됨.,건물 양성화를 통해 가치를 높인 후 매도. 매도 전까지 공동투자자들의 별장으로 활용하는 엑시트 전략.,사량도 포구 인근으로 낚시객 수요가 있어 펜션이나 별장 부지로 가치 있음.,1
제주도 제주시,토지 및 건물 지분,미명시,350만원,토지 1/3 지분 매각. 대항력 있는 세입자 없음. 2층 건물 포함.,"지분 낙찰 후 다른 공유자에게 지분 매각을 제안하거나, 공유물 분할 청구 소송을 통한 전체 매각 진행.",제주도라는 지역 특성상 장기 보유 시 가치 상승 및 취하 가능성에 따른 보상금 기대 가능.,1
제주도 서귀포시 안덕면,토지(전),28억,"9억 8,700만원",4필지 일괄 매각. 이전 낙찰자 대금 미납 사건. 바다에서 500m 거리.,성토 및 축대 공사를 통해 조망권 확보 후 대지로 개발. 2층 이상 건축 시 바다 조망 가능하도록 설계.,개발 후 조망권이 확보되면 시세 20억 이상의 가치가 있을 것으로 예상되는 고수익 물건.,1
경기도 화성시 향남읍,대지(건물 제외),5억 4천,"1억 8,600만원","건물 매각 제외, 토지만 경매. 법정지상권 성립 가능성 높음. 도로 지분 포함.",건물주를 상대로 지료 청구 소송 및 철거 소송 진행. 감정가 기반의 지료 수입 확보 또는 건물주와의 협상을 통한 토지 매도.,"화성은 인구가 늘어나는 지역으로 지가 상승세가 뚜렷하며, 낙찰가 대비 감정가가 높아 수익성 양호.",2
용인시 기흥구 고매동,토지(대지),11억 6천,4억,무허가 미등기 건물 소재(매각 제외). 지적도상 맹지이나 현황도로 존재. 지상권 포기 확약서 제출됨.,건물주와 협상하여 무허가 건물을 저렴하게 매수하거나 철거 후 신축. 인근 건축 허가 사례를 근거로 도로 인정 유도.,"기흥 IC 인근의 좋은 입지로, 건축 허가 문제만 해결되면 감정가 수준의 가치 회복 가능.",2
충청남도 보령시 주교면,토지(전),1억 900만원,"3,700만원",유치권 신고 있으나 실질적 점유 부재로 무시 가능. 농지취득자격증명 필요.,낙찰 후 창고 부지로 개발하여 임대 수익 창출. 공시지가보다 낮은 가격에 낙찰받아 농지연금 활용 가능.,시내 중심가 입지로 주거 혹은 상업적 용도 전환 시 가치 상승 기대.,3
경기도 평택시 장당동,근린시설(상가),16억,8억,1종 일반주거지역. 6차선 대로변 상가. 토지 감정가만 14억.,법인 명의 낙찰 후 대출 활용. 임대 수익(보증금 6천/월 100만)을 받으며 장기 보유하거나 시세대로 재매각.,삼성 반도체 공장 인근 배후 수요로 인해 안정적인 가치 상승이 예상되는 우량 물건.,3
경기도 안성시 미양면 구수리,전원주택 용지,"9,900만원","6,900만원",건물이 없는 토지로 대항력 있는 임차인 없음. 인근 고속도로 및 IC 개발로 지가 상승 중. 항공사진상 인접 필지에 묘지가 보이나 실제 현장 고저차로 인해 조망되지 않을 것으로 보임.,기존 건축 허가는 무시하고 잔금 납부 후 재허가 추진 전략. 착공계가 제출되지 않은 경우 소유권 상실 시 허가 취소 가능함.,세종 고속도로 개통 및 IC 인근 호재로 인해 지가 상승 여력이 높음. 최저가 낙찰 시 시세 차익 기대.,4
충청남도 서산시,전원주택 (대지+임야),"3억 2,000만원","1억 6,100만원",소유자 사망 후 상속인들이 경매 신청. 현재 빈집 상태로 소유주들이 부동산에 관심이 없음. 도로 지분을 소유하고 있어 건축에 문제 없음.,49%까지 떨어진 낮은 가격에 낙찰 후 임대(월세)를 주며 2~3년 보유 후 매도하는 엑시트 전략.,"서산시청 인근 10분 거리로 접근성이 좋으며, 향후 감정가 수준으로 가치 회복 및 매도 가능성 높음.",4
충청남도 아산시 영인면 백석포리,토지 (지목: 묘지),정보 없음,정보 없음,계획관리지역 내 800평 토지. 분묘 2기 및 무허가 조립식 건물 존재. 분묘기지권 인정 시 지료 청구 가능.,"무연고 묘지는 공고 후 처리, 유연고 묘지는 지료 청구 소송을 통해 이장비 협상(기당 약 100만원). 무허가 건물은 지료 청구 소송 후 저가 매수하여 양성화 전략.",묘지 정리 후 공장이나 창고 용지로 매물화할 경우 높은 수익성 기대. 농지취득자격증명 불필요한 장점.,5
용인시 동백지구,전원주택,"7억 1,000만원","2억 7,400만원","공사대금 관련 유치권 존재 확정 판결 있으나, 현재 점유자가 없어 유치권 소멸 가능성 높음. 사용승인 받지 못한 건물로 건축물대장 없음.","점유 부재를 근거로 유치권 무시 전략. 낙찰 후 내부 수리 및 사용승인 절차 진행하여 건축물대장 생성 가능하나, 대장 없이 등기부만으로 매매해도 무관함.",감정가 대비 34% 수준의 파격적인 가격으로 낙찰 시 시세 차익 극대화 가능.,5
충청남도 당진시 신평면 초대리,토지 (농지),13억,"4억 7,800만원",지목은 '답'이나 현재 휴경지 상태. 도로변에 위치하며 생산관리지역 토지. 감정가 대비 34%까지 유찰됨.,농지연금용으로 사두고 3~4년 보유 전략. 농지 심사 규제 완화 시점을 기다려 제값에 매도.,"현 투자 시점이 적기이며, 향후 농지연금 활용 시 안정적인 수익 확보 가능.",5
충청남도 당진시 송악읍 가학리,토지 (농지),7억,"2억 4,100만원",지적도상 도로는 없으나 포장된 현황 도로가 토지를 관통함. 매각 제외된 무허가 창고 및 비닐하우스 존재.,당진시 건축 조례를 활용하여 현황 도로를 건축법상 도로로 인정받는 전략. 무허가 건물주는 철거 및 지료 소송으로 압박. '사전심의 결정'을 통해 매수자에게 건축 가능성 확신 부여 후 분할 매도.,맹지를 건축 가능지로 탈바꿈시켜 가치를 높인 후 감정가의 70~80% 선에서 매도 시 높은 수익 기대.,6
부산광역시 해운대구,아파트,"3억 7,900만원","2억 4,200만원 (64%)",선순위 전입자가 있으나 확정일자 및 배당요구 없음. 이후 1금융권과 저축은행에서 거액의 근저당을 설정한 정황 포착.,금융기관 여신 담당자를 직접 찾아가 무상거주자 각서 유무 확인. 선순위 임차인이 가짜일 확률이 높으므로 대항력 리스크 무시하고 입찰.,대항력 우려로 인해 유찰된 물건을 실거래가보다 싸게 낙찰받아 가치 회복 시 매도.,"7, 8"
충청북도 음성군 금왕읍 사창리,공장,20억,"6억 9,000만원","기계 기구 8억 4,000만원이 포함된 감정가. 실제 기계 가치는 낮을 수 있음. 유치권 신고(6,000만원) 존재.",기계 가치를 배제하고 토지 및 건물 가치 중심으로 입찰가 산정. 법인으로 낙찰받아 대출 활용 및 3년 보유 후 주식 양도 방식으로 엑시트.,"수도권 인근 공장 용지는 지가 상승률이 높으며, 세법상 이점을 활용한 매도 시 수익성 높음.","8, 9"
경기도 안성시 양성면,공장,16억 원,"8억 2,300만 원","유치권 신고가 있으나 점유자 및 임차인이 없어 성립 가능성 낮음. 토지 6필지(공장용지 3, 도로지분 3) 및 건물 3동 일괄 매각.","기반 시설이 완비된 땅값으로 투자. 법인 낙찰 후 대출 활용, 건물 임대(크레인 유무에 따라 평당 2~3만 원)로 이자 충당. 3년 이상 보유 후 주식 양도 방식으로 매도 시 양도세 절감.","용인 반도체 클러스터 배후지로 안성 지역의 발전 가능성이 높으며, 감정가 대비 저렴한 가격으로 시세 차익 기대 가능.",10
천안시 동남구 병천면,전원주택지,10억 원,"3억 6,700만 원",지목은 대지이나 도로 지분 및 공원 부지 포함으로 실제 가용 면적 적음. 미완성 콘크리트 구조물 및 미등기 목조주택 매각 제외.,매각 제외 건물 소유자와 협상 및 철거 소송 필요. 나대지 두 필지 매각을 통해 투자 원금 회수 전략. 한 번 더 유찰 시 입찰 권장.,"전원주택지 특성상 환금성이 낮으므로 시세의 40~60% 수준에서 매수해야 수익이 나며, 인근 아파트 거주자들의 텃밭 수요 기대.",11
경상북도 영천시,대지 및 건물 지분,"8,300만 원","7,000만 원",대지 및 건물의 1/2 지분 매각. 채무자가 일부 사업 자금 문제로 경매 진행 중이나 취하 가능성 낮음.,"낙찰 후 나머지 지분권자와 협상하여 전체를 매수하거나, 지분권자에게 다시 매도하는 전략. 협상 결렬 시 공유물분할소송을 통한 전체 경매 진행.",땅과 건물 상태가 양호하여 실거주 혹은 재매각 시 충분한 마진 확보가 가능할 것으로 보임.,12
전라남도 영광군,단층 주택,"4,900만 원","2,400만 원 ~ 2,900만 원 (예상)",토지 및 건물 전체 매각(일반 공매). 세무서 압류로 인한 공매 진행. 거주자 있으나 인도명령 대상이 아니므로 명도 소송 필요.,명도 소송을 통해 점유자 내보낸 후 전체 매각. 혹은 현재 거주자에게 감정가 수준(약 5천만 원)으로 재매도 협상.,집 상태가 깨끗하고 평탄한 지형이라 귀촌 수요자 등에게 4천만 원 초반대에 매도 가능할 것으로 추론.,13
경상남도 창녕군 이방면,주택 및 창고,"5억 5,000만 원","2억 2,600만 원","대지 2필지, 공장용지 3필지. 유치권 신고(1억 5,500만 원)가 있으나 소유자 점유로 성립 가능성 낮음. 진입 도로가 협소함.",도로가 좁아 창고 활용도가 떨어지므로 추가 유찰을 기다려 토지 가격 이하로 낙찰받는 전략 필요.,"대형 차량 진입이 어려워 임대 수익은 낮을 수 있으나, 저렴한 가격에 낙찰받을 경우 토지 가치 상승분 기대 가능.",13
경기도 평택시 안중읍,임야 (과수원),"5억 5,000만 원","2억 3,500만 원",지목은 임야이나 현황은 과수원(감나무)으로 이용 중인 농지. 농지연금 신청 가능 물건.,60세 이상 투자자가 낙찰받아 5년 경작 후 농지연금 신청. 감정가 대비 저렴하게 낙찰받아 연금 수령액 극대화.,매월 약 150만 원에서 300만 원 사이의 평생 연금 수령이 가능하여 노후 보장용 투자로 적합.,14
제주시 조천읍,토지 (전),"1억 7,000만 원","5,800만 원",농지전용허가를 득하고 건축 중 중단된 토지. 건물 매각 제외. 제주도 조례상 현지 거주자만 농취증 발급 가능.,"건축 허가권자와 협상하여 허가권을 승계받거나, 지료 청구 및 건물 철거 소송 진행. 농지전용부담금 기납부분을 고려한 협상.",공로에 접한 8m 도로 확보 가능성 및 저렴한 낙찰가로 인해 건축 완공 시 큰 수익 예상.,15
경기도 여주시 능서면,토지 (전),Not in source,평당 약 50만 원,1종 일반주거지역 농지. 일부 부지가 학교 부지로 편입될 예정(약 100평). 농지취득자격증명원 제출 필수.,4차선 대로변 옆 토지로 야적장이나 창고 부지로 활용. 법인 낙찰은 농취증 문제로 어려울 수 있으니 개인 명의 권장.,"대형 차량 진출입이 용이하여 야적장 임대 수요가 꾸준할 것이며, 주거지역 편입에 따른 지가 상승 기대.",16
경상남도 통영시 욕지도,섬 토지 (임야/농지),Not in source,Not in source,건물 매각 제외(무허가 건물). 농지취득자격증명원 필요하며 원상복구 조건부 발급 가능성 있음.,조망권이 우수하므로 농취증 발급 후 건물을 양성화하거나 철거 후 재건축. 주말농장 용도로 활용 가능.,바다 조망이 끝내주는 위치로 휴양지나 펜션 부지로 개발 시 높은 가치 상승 예상.,13
경상북도 상주시,토지 및 건물 지분 (22/6),Not in source,Not in source,전체 지분 중 22/6 매각. 채무자의 어머니가 거주 중이며 세금 체납으로 인한 경매.,공유자(가족)들과 협상하여 지분 매도. 가족 관계상 어머니의 거주권을 위해 다른 자녀들이 지분을 매수할 가능성이 높음.,도로변 위치가 좋아 가족 협상이 안 될 경우 공유물분할 소송을 통해 전체 매각 시 시세 차익 가능.,13
